        C-B     huma    xomu    wosa    kyga    vyqa    guhu    lyzu    poma    pugu    wely

M-            53    0.58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            67    0.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            30    0.02    0.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            39    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            18    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            20    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            17    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            22    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            43    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            16    0.00    0.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
M-            26    0.00    0.00    0.37    0.00    0.00    0.00    0.00    0.11    0.00    0.00
M-             5    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00
M-            27    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00
M-            33    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00
M-            15    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00    0.00
M-            58    0.00    0.00    0.00    0.00    0.51    0.00    0.00    0.00    0.00    0.00
M-           393    0.00    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00    0.00
M-           211    0.00    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00    0.00
M-           484    0.00    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00    0.00
M-            23    0.00    0.00    0.00    0.00    0.00    0.80    0.00    0.00    0.00    0.00
M-            61    0.00    0.00    0.00    0.08    0.00    0.00    0.44    0.01    0.00    0.00
M-            55    0.00    0.00    0.00    0.01    0.00    0.00    0.11    0.00    0.00    0.00
M-           394    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.00    0.00    0.00
M-            46    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.00    0.00    0.00
M-           169    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.46    0.00
M-           238    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.26    0.00
M-           121    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
