        C-B            0       1       2       3

M-            53    0.68    0.00    0.00    0.00
M-            55    0.10    0.00    0.00    0.00
M-            67    0.03    0.00    0.00    0.00
M-           169    0.03    0.00    0.00    0.00
M-            33    0.01    0.00    0.01    0.00
M-           128    0.01    0.00    0.00    0.00
M-           187    0.01    0.00    0.00    0.00
M-            43    0.01    0.01    0.00    0.00
M-            46    0.01    0.00    0.00    0.00
M-            30    0.00    0.68    0.00    0.00
M-            18    0.00    0.18    0.00    0.00
M-            16    0.00    0.03    0.00    0.00
M-             5    0.00    0.00    0.45    0.00
M-            20    0.00    0.00    0.21    0.00
M-            27    0.00    0.00    0.13    0.00
M-            23    0.00    0.00    0.03    0.00
M-            22    0.00    0.00    0.03    0.00
M-            26    0.00    0.00    0.02    0.00
M-            15    0.00    0.00    0.02    0.00
M-            89    0.00    0.00    0.02    0.00
M-            37    0.00    0.00    0.01    0.00
M-           233    0.00    0.00    0.01    0.00
M-            61    0.00    0.00    0.00    0.84
M-            58    0.00    0.00    0.00    0.08
M-           394    0.00    0.00    0.00    0.02
M-            90    0.00    0.00    0.00    0.01
M-           393    0.00    0.00    0.00    0.01
